path,filename,class_name,label,n_masks,mask_paths,group,content_md5
Dataset_BUSI\benign\benign (131).png,benign (131).png,benign,0,1,Dataset_BUSI\benign\benign (131)_mask.png,34,b324fc6f5dda85a77e20ef7260f29508
Dataset_BUSI\benign\benign (164).png,benign (164).png,benign,0,1,Dataset_BUSI\benign\benign (164)_mask.png,66,178137613eef8adc276c0bc0ea2a30fb
Dataset_BUSI\benign\benign (269).png,benign (269).png,benign,0,1,Dataset_BUSI\benign\benign (269)_mask.png,157,22e9e8147951e90ef653f6727e998a50
Dataset_BUSI\benign\benign (333).png,benign (333).png,benign,0,1,Dataset_BUSI\benign\benign (333)_mask.png,184,8936cf037a7fab889127955fface0669
Dataset_BUSI\benign\benign (399).png,benign (399).png,benign,0,1,Dataset_BUSI\benign\benign (399)_mask.png,253,8bb5eaf95738d3bfd4cdb6ca5f6b00d5
Dataset_BUSI\benign\benign (406).png,benign (406).png,benign,0,1,Dataset_BUSI\benign\benign (406)_mask.png,261,11d6f7c420f423cf1d35f9316e23efd8
Dataset_BUSI\benign\benign (42).png,benign (42).png,benign,0,1,Dataset_BUSI\benign\benign (42)_mask.png,34,e8effa1a57aed265711de0b47d50f587
Dataset_BUSI\benign\benign (433).png,benign (433).png,benign,0,1,Dataset_BUSI\benign\benign (433)_mask.png,280,aed81b43d8d5584e8ab5a5bb10cd0c78
Dataset_BUSI\benign\benign (437).png,benign (437).png,benign,0,1,Dataset_BUSI\benign\benign (437)_mask.png,284,301d1f113dbbc94b799b8c9a3f12634d
Dataset_BUSI\benign\benign (85).png,benign (85).png,benign,0,1,Dataset_BUSI\benign\benign (85)_mask.png,66,50543453c771dbe5285f20115e2702d3
Dataset_BUSI\malignant\malignant (145).png,malignant (145).png,malignant,1,1,Dataset_BUSI\malignant\malignant (145)_mask.png,280,aed81b43d8d5584e8ab5a5bb10cd0c78
Dataset_BUSI\malignant\malignant (51).png,malignant (51).png,malignant,1,1,Dataset_BUSI\malignant\malignant (51)_mask.png,34,b7e9fe0a11527e1eb0259c1bad8da029
Dataset_BUSI\malignant\malignant (52).png,malignant (52).png,malignant,1,1,Dataset_BUSI\malignant\malignant (52)_mask.png,66,19ca67465ad5606118d8895b569c202a
Dataset_BUSI\malignant\malignant (77).png,malignant (77).png,malignant,1,1,Dataset_BUSI\malignant\malignant (77)_mask.png,184,e2382be6012d0d8a55d7a3410867b4f1
Dataset_BUSI\malignant\malignant (93).png,malignant (93).png,malignant,1,1,Dataset_BUSI\malignant\malignant (93)_mask.png,253,d35229949864d2f5f51cdaf39bf1a645
Dataset_BUSI\malignant\malignant (94).png,malignant (94).png,malignant,1,1,Dataset_BUSI\malignant\malignant (94)_mask.png,261,4cd738ef9d8338f27cce087657489243
Dataset_BUSI\normal\normal (1).png,normal (1).png,normal,2,1,Dataset_BUSI\normal\normal (1)_mask.png,157,46a4baa63083aad66f23862823844986
Dataset_BUSI\normal\normal (34).png,normal (34).png,normal,2,1,Dataset_BUSI\normal\normal (34)_mask.png,284,df1a4efc02975cc860bc9d6964b388f0
