file_a,file_b,class_a,class_b,phash_hamming,exact_pixel_duplicate,label_conflict
benign (1).png,benign (318).png,benign,benign,2,False,False
benign (10).png,benign (327).png,benign,benign,2,False,False
benign (105).png,benign (156).png,benign,benign,2,False,False
benign (11).png,benign (328).png,benign,benign,4,False,False
benign (110).png,benign (158).png,benign,benign,6,False,False
benign (116).png,benign (119).png,benign,benign,6,False,False
benign (119).png,benign (122).png,benign,benign,6,False,False
benign (12).png,benign (329).png,benign,benign,4,False,False
benign (127).png,benign (37).png,benign,benign,0,False,False
benign (128).png,benign (30).png,benign,benign,2,False,False
benign (129).png,benign (44).png,benign,benign,2,False,False
benign (13).png,benign (330).png,benign,benign,2,False,False
benign (130).png,benign (33).png,benign,benign,6,False,False
benign (131).png,benign (42).png,benign,benign,2,False,False
benign (131).png,malignant (51).png,benign,malignant,2,False,True
benign (132).png,benign (38).png,benign,benign,2,False,False
benign (133).png,benign (51).png,benign,benign,2,False,False
benign (134).png,benign (52).png,benign,benign,4,False,False
benign (135).png,benign (58).png,benign,benign,0,False,False
benign (136).png,benign (50).png,benign,benign,2,False,False
benign (138).png,benign (60).png,benign,benign,4,False,False
benign (139).png,benign (157).png,benign,benign,0,False,False
benign (139).png,benign (65).png,benign,benign,0,False,False
benign (139).png,benign (99).png,benign,benign,2,False,False
benign (14).png,benign (331).png,benign,benign,0,False,False
benign (15).png,benign (332).png,benign,benign,0,False,False
benign (150).png,benign (19).png,benign,benign,2,False,False
benign (151).png,benign (16).png,benign,benign,2,False,False
benign (152).png,benign (18).png,benign,benign,0,False,False
benign (153).png,benign (25).png,benign,benign,4,False,False
benign (155).png,benign (96).png,benign,benign,4,False,False
benign (157).png,benign (65).png,benign,benign,0,False,False
benign (157).png,benign (99).png,benign,benign,2,False,False
benign (163).png,benign (86).png,benign,benign,0,False,False
benign (164).png,benign (85).png,benign,benign,0,False,False
benign (164).png,malignant (52).png,benign,malignant,2,False,True
benign (17).png,benign (425).png,benign,benign,2,False,False
benign (177).png,benign (35).png,benign,benign,0,False,False
benign (197).png,benign (81).png,benign,benign,6,False,False
benign (199).png,benign (248).png,benign,benign,4,False,False
benign (2).png,benign (319).png,benign,benign,2,False,False
benign (200).png,benign (274).png,benign,benign,4,False,False
benign (200).png,benign (290).png,benign,benign,4,False,False
benign (201).png,benign (302).png,benign,benign,6,False,False
benign (202).png,benign (301).png,benign,benign,2,False,False
benign (203).png,benign (273).png,benign,benign,0,False,False
benign (203).png,benign (289).png,benign,benign,2,False,False
benign (204).png,benign (249).png,benign,benign,0,False,False
benign (204).png,benign (282).png,benign,benign,2,False,False
benign (205).png,benign (262).png,benign,benign,4,False,False
benign (206).png,benign (303).png,benign,benign,2,False,False
benign (207).png,benign (256).png,benign,benign,2,False,False
benign (208).png,benign (291).png,benign,benign,4,False,False
benign (209).png,benign (275).png,benign,benign,4,False,False
benign (209).png,benign (297).png,benign,benign,4,False,False
benign (210).png,benign (298).png,benign,benign,0,False,False
benign (211).png,benign (254).png,benign,benign,2,False,False
benign (213).png,benign (253).png,benign,benign,4,False,False
benign (214).png,benign (260).png,benign,benign,2,False,False
benign (214).png,benign (281).png,benign,benign,4,False,False
benign (215).png,benign (270).png,benign,benign,0,False,False
benign (216).png,benign (265).png,benign,benign,2,False,False
benign (217).png,benign (268).png,benign,benign,2,False,False
benign (218).png,benign (296).png,benign,benign,0,False,False
benign (219).png,benign (272).png,benign,benign,4,False,False
benign (220).png,benign (271).png,benign,benign,2,False,False
benign (222).png,benign (267).png,benign,benign,0,False,False
benign (223).png,benign (257).png,benign,benign,2,False,False
benign (224).png,benign (304).png,benign,benign,4,False,False
benign (225).png,benign (292).png,benign,benign,2,False,False
benign (225).png,benign (293).png,benign,benign,2,False,False
benign (226).png,benign (263).png,benign,benign,0,False,False
benign (226).png,benign (278).png,benign,benign,2,False,False
