path,filename,class_name,label,n_masks,mask_paths,group,content_md5
Dataset_BUSI\benign\benign (1).png,benign (1).png,benign,0,1,Dataset_BUSI\benign\benign (1)_mask.png,0,56835dad170553211c11be04514df156
Dataset_BUSI\benign\benign (10).png,benign (10).png,benign,0,1,Dataset_BUSI\benign\benign (10)_mask.png,1,cbbd38fc4d802ea6d1c8afd21919eed9
Dataset_BUSI\benign\benign (100).png,benign (100).png,benign,0,2,Dataset_BUSI\benign\benign (100)_mask.png|Dataset_BUSI\benign\benign (100)_mask_1.png,2,4bc7609b80f0a6a79eb509bc7a319e24
Dataset_BUSI\benign\benign (101).png,benign (101).png,benign,0,1,Dataset_BUSI\benign\benign (101)_mask.png,3,ce8b94e5dd94274c8bad840730d4d127
Dataset_BUSI\benign\benign (102).png,benign (102).png,benign,0,1,Dataset_BUSI\benign\benign (102)_mask.png,4,7aed08f2cc58bdf3f35f1388e3dfa0ca
Dataset_BUSI\benign\benign (103).png,benign (103).png,benign,0,1,Dataset_BUSI\benign\benign (103)_mask.png,5,9f45c7db1c95831a0dc482b87e8bab8e
Dataset_BUSI\benign\benign (104).png,benign (104).png,benign,0,1,Dataset_BUSI\benign\benign (104)_mask.png,6,4f504fdc20b5d4c36a2c80657d533216
Dataset_BUSI\benign\benign (105).png,benign (105).png,benign,0,1,Dataset_BUSI\benign\benign (105)_mask.png,7,d0ad2ac340aa3907e5f9a5af03aaace0
Dataset_BUSI\benign\benign (106).png,benign (106).png,benign,0,1,Dataset_BUSI\benign\benign (106)_mask.png,8,a8321ff48054d66ea8d001c413e0a76f
Dataset_BUSI\benign\benign (107).png,benign (107).png,benign,0,1,Dataset_BUSI\benign\benign (107)_mask.png,9,11e41ec1e8e9fbb28e1a2c05bb7e7a67
Dataset_BUSI\benign\benign (108).png,benign (108).png,benign,0,1,Dataset_BUSI\benign\benign (108)_mask.png,10,ebf11f9443908d4f9cb2b5f96f2738d6
Dataset_BUSI\benign\benign (109).png,benign (109).png,benign,0,1,Dataset_BUSI\benign\benign (109)_mask.png,11,6ef601c69ff52dd1af726dbcb30d81d3
Dataset_BUSI\benign\benign (11).png,benign (11).png,benign,0,1,Dataset_BUSI\benign\benign (11)_mask.png,12,beb6c7704ec46d52aeb7821563f82584
Dataset_BUSI\benign\benign (110).png,benign (110).png,benign,0,1,Dataset_BUSI\benign\benign (110)_mask.png,13,a2d77bbeb2ea0523114bc37651708585
Dataset_BUSI\benign\benign (111).png,benign (111).png,benign,0,1,Dataset_BUSI\benign\benign (111)_mask.png,14,e9ac8ae8652554b33c84dcfef4466e12
Dataset_BUSI\benign\benign (112).png,benign (112).png,benign,0,1,Dataset_BUSI\benign\benign (112)_mask.png,15,979a7a97769c5a8ba35c9c2e90f721a4
Dataset_BUSI\benign\benign (113).png,benign (113).png,benign,0,1,Dataset_BUSI\benign\benign (113)_mask.png,16,edf7dd179eb41586236349033e7456b3
Dataset_BUSI\benign\benign (114).png,benign (114).png,benign,0,1,Dataset_BUSI\benign\benign (114)_mask.png,17,a5f6ee46cd934268bef532901d2f0281
Dataset_BUSI\benign\benign (115).png,benign (115).png,benign,0,1,Dataset_BUSI\benign\benign (115)_mask.png,18,6b33cffa234109395854d5d06eb173b4
